
                             %_LE:LE12 PI: PART                   
                             %-1-1 E: 1 Centroi  _S:S12 PI: PART-1
                 % X                  d           -1 E: 1 Centroid

               35.75              54.2902E-03       147.957      
               35.8               54.3553E-03       147.961      
               35.85              54.4203E-03       147.964      
               35.9               54.4853E-03       147.968      
               35.95              54.5503E-03       147.972      
               36.                54.6153E-03       147.976      
               36.05              54.6803E-03       147.979      
               36.1               54.7452E-03       147.983      
               36.15              54.8104E-03       147.987      
               36.2               54.8753E-03       147.991      
               36.25              54.9404E-03       147.994      
               36.3               55.0053E-03       147.998      
               36.35              55.0703E-03       148.002      
               36.4               55.1354E-03       148.006      
               36.45              55.2003E-03       148.009      
               36.5               55.2654E-03       148.013      
               36.55              55.3303E-03       148.017      
               36.6               55.3954E-03       148.021      
               36.65              55.4603E-03       148.024      
               36.7               55.5254E-03       148.028      
               36.75              55.5903E-03       148.032      
               36.8               55.6554E-03       148.036      
               36.85              55.7204E-03       148.039      
               36.9               55.7854E-03       148.043      
               36.95              55.8504E-03       148.047      
               37.                55.9155E-03       148.051      
               37.05              55.9804E-03       148.055      
               37.1               56.0454E-03       148.058      
               37.15              56.1104E-03       148.062      
               37.2               56.1754E-03       148.066      
               37.25              56.2405E-03       148.07       
               37.3               56.3054E-03       148.073      
               37.35              56.3704E-03       148.077      
               37.4               56.4355E-03       148.081      
               37.45              56.5005E-03       148.085      
               37.5               56.5654E-03       148.088      
               37.55              56.6305E-03       148.092      
               37.6               56.6954E-03       148.096      
               37.65              56.7604E-03       148.1        
